Nr	version	A2_version	numdig	onezero	twozero	Navn	Areal (km2)	Dailydata_Start	Dailydata_Slutt	Dailydata_Utlatt	Dailydata_N	Findata_Start	Findata_Slutt	Findata_Utelatt	Findata_N
109.4	1	1	1	FALSE	FALSE	Gjevilvatn	169	1922	1950		29				
109.9	1	1	1	FALSE	FALSE	Risefoss	745.38	1936	2015		80	1979	2015		37
109.11	1	1	2	FALSE	FALSE	Vindal	161	1937	1951		15				
109.12	1	1	2	FALSE	FALSE	Bruøy 1949-1966	474	1950	1990		41	1964	1990		27
109.19	1	1	2	FALSE	FALSE	Ångårdsvatn	88,5	1964	1972		9				
109.21	1	1	2	FALSE	FALSE	Svoni	136.02	1970	2015	1995:1996	44	1981	2015	1982:1985, 1991, 1995:1997, 2000	26
109.29	1	1	2	FALSE	FALSE	Dalavatn	85.44	1975	2015	2013	40	1975	2015	1977, 2013	39
109.31	1	1	2	FALSE	FALSE	Grøli 1980-1983	108	1981	1993		13	1985	1993	1990	8
109.35	1	1	2	FALSE	FALSE	Håkådalselv	23.62	1988	2014	2007:2008	25	1988	2014	1990, 1994, 1998, 2001, 2003, 2007, 2008	20
109.42	1	1	2	FALSE	FALSE	Elvehøy Bru	2437.41	1908	1972		65				
111.1	2	1	1	FALSE	FALSE	Innerdalsvatn	72,6	1967	1987		21	1986	1987		2
111.3	1	1	1	FALSE	FALSE	Todalselv	205	1908	1937		30				
111.5	1	1	1	FALSE	FALSE	Talgøyfoss	150.47	1944	1972		29				
111.9	1	1	1	FALSE	FALSE	Søya	137.63	1975	2015		41	1975	2015	1978, 1993, 1999, 2005, 2007	36
111.10	1	1	2	TRUE	FALSE	Nauståa	24.79	1979	2015	2008:2010	34	1979	2015	1993, 1999, 2008:2010	32
112.3	1	1	1	FALSE	FALSE	Svorka	83,3	1921	1961	1926:1939	27				
112.5	1	1	1	FALSE	FALSE	Løsetli	196	1958	1967		10				
112.6	1	1	1	FALSE	FALSE	Sjursberget	168	1958	1969		12				
114.1	1	1	1	FALSE	FALSE	Myra	16.46	1989	2015	1991, 2005	25	1989	2015	1991:1993, 1995, 2000, 2002, 2005, 2009, 2010	18
121.9	1	1	1	FALSE	FALSE	Næverdal	793.85	1967	1981		15				
121.13	1	1	2	FALSE	FALSE	Grana	212.51	1962	1978		17				
121.14	1	1	2	FALSE	FALSE	Svorksjøen	103.23	1965	1977		13				
121.20	1	1	2	TRUE	FALSE	Åmot	282.36	1988	2015	1992:1993	26	1988	2015	1992:1993	26
121.22	1	1	2	FALSE	FALSE	Syrstad	2278.13	1913	1939		27				
122.9	1	1	1	FALSE	FALSE	Gaulfoss	3086.41	1959	2015	1977:1987	46	1988	2015	1993:1994	26
122.11	1	1	2	FALSE	FALSE	Eggafoss	654.24	1942	2015	2013	73	1966	2015	1975:1985, 2013	38
